Title,Plot,Quotability/cultural impact ,Laughs,Total score,IMDb rating,IMDb rank,Notes,Season ,episode
The Bubble Boy 4:7,3,8,16,16.69565217,8.7,11,,4,7
The Cheever Letters 4:8,4,7,17,20.69565217,8.5,22,,4,8
The Opera 4:9,4,7,21,25.56521739,8.2,49,"""I've kybashed berfore…""",4,9
The Virgin 4:10,4,6,18,18.7826087,8.1,53,,4,10
The Contest 4:11,5,10,31,67.39130435,9.6,1,first appearance of Estelle. ,4,11
The Airport 4:12,4.5,9,17,29.93478261,8.9,5,,4,12
The Pick 4:13,4,9,24,37.56521739,8.5,22,,4,13
The Movie 4:14,4,9,11,17.2173913,8.1,53,,4,14
The Visa 4:15,3,7,14,12.7826087,8.1,53,,4,15
The Shoes ,3,7,10.5,9.586956522,8.1,53,george clapping GIF,4,16
The Outing ,4,8,21,29.2173913,9.4,3,"""not that there's anything wrong with that""",4,17
The Old Man ,3,7,14.5,13.23913043,8,61,""" I loathe you!""",4,18
The Implant ,4,8,15,20.86956522,8.6,17,,4,19
The Junior Mint ,4,10,27,46.95652174,8.7,11,"""DOLORES!!!""",4,20
The Smelly Car ,4,7,15,18.26086957,8.4,25,,4,21
The Handicap Spot ,3,9,17.5,20.54347826,8.3,36,introduction of frank,4,22
the pilot_(2),3,9,21,24.65217391,8.6,17,,,
The Pilot_(1) ,3,9,21,24.65217391,8.6,17,"""show about nothing""",4,23
The Mango,4,7,25.5,31.04347826,8.4,25,"""you faked it?""",5,1
The Puffy Shirt,4,10,17,29.56521739,8.8,9,"""I don’t wanna be a pirate""",5,2
The Glasses,3,9,21,24.65217391,8.3,36,,5,3
The Sniffing Accountant,3.5,10,27.5,41.84782609,8,61,"""heres to feeling good all the time""",5,4
The Bris,1,5,12,2.608695652,7.9,68,,5,5
The Lip Reader,4,6,19,19.82608696,8.3,36,,5,6
The Non-Fat Yogurt,5,9,16,31.30434783,8.3,36,"""giddy up"" gif",5,7
The Barber,4,8,16.5,22.95652174,8.4,25,,5,8
The Masseuse,3,8,20,20.86956522,7.7,73,,5,9
The Cigar Store indian,4,7,15,18.26086957,8.2,49,,5,10
The Conversion,5,9,30,58.69565217,8.1,53,,5,11
The Stall,4,8,29,40.34782609,8.4,25,,5,12
The Dinner Party,4,8,17.5,24.34782609,8.1,53,,5,13
The Marine Biologist,5,9,52,101.7391304,9.2,4,,5,14
The Pie,4,8,23,32,8.4,25,,5,15
The Stand-In,3,9,21.5,25.23913043,7.4,83,,5,16
The Wife,4,7,23,28,8,61,,5,17
The Raincoats 5:18,4,10,25,23.25581395,8.3,36,,5,18
The Fire 5:19,3,8,27,28.17391304,8.5,22,"""Jon Favreau is eric the clown""",5,19
The Hamptons 5:20,4,9,10,15.65217391,8.9,5,,5,20
The Opposite 5:21,,,,0,9.6,1,,5,21
,,,,0,,#N/A,,,
,,,,0,,#N/A,,,
,,,,0,,#N/A,,,
,,,,0,,#N/A,,,
,,,,0,,#N/A,,,
,,,,0,,#N/A,,,
,,,,0,,#N/A,,,
,,,,0,,#N/A,,,
,,,,0,,#N/A,,,
,,,,0,,#N/A,,,
,,,,0,,#N/A,,,
,,,,0,,#N/A,,,
,,,,0,,#N/A,,,
,,,,0,,#N/A,,,
,,,,0,,#N/A,,,
,,,,0,,#N/A,,,
,,,,0,,#N/A,,,
,,,,0,,#N/A,,,
,,,,0,,#N/A,,,
,,,,0,,#N/A,,,
,,,,0,,#N/A,,,
,,,,0,,#N/A,,,
,,,,0,,#N/A,,,
,,,,0,,#N/A,,,
,,,,0,,#N/A,,,
,,,,0,,#N/A,,,
,,,,0,,#N/A,,,
,,,,0,,#N/A,,,
,,,,0,,#N/A,,,
,,,,0,,#N/A,,,
,,,,0,,#N/A,,,
,,,,0,,#N/A,,,
,,,,0,,#N/A,,,
,,,,0,,#N/A,,,
,,,,0,,#N/A,,,
,,,,0,,#N/A,,,
,,,,0,,#N/A,,,
,,,,0,,#N/A,,,
,,,,0,,#N/A,,,
,,,,0,,#N/A,,,
,,,,0,,#N/A,,,
,,,,0,,#N/A,,,
,,,,0,,#N/A,,,
,,,,0,,#N/A,,,
,,,,0,,#N/A,,,
,,,,0,,#N/A,,,
,,,,0,,#N/A,,,
,,,,0,,#N/A,,,
,,,,0,,#N/A,,,
,,,,0,,#N/A,,,
,,,,0,,#N/A,,,
,,,,0,,#N/A,,,
,,,,0,,#N/A,,,
,,,,0,,#N/A,,,
,,,,0,,#N/A,,,
,,,,0,,#N/A,,,
,,,,0,,#N/A,,,
,,,,0,,#N/A,,,
,,,,0,,#N/A,,,
,,,,0,,#N/A,,,
,,,,0,,#N/A,,,
,,,,0,,#N/A,,,
,,,,0,,#N/A,,,
,,,,0,,#N/A,,,
,,,,0,,#N/A,,,
,,,,0,,#N/A,,,
,,,,0,,#N/A,,,
,,,,0,,#N/A,,,
,,,,0,,#N/A,,,
,,,,0,,#N/A,,,
,,,,0,,#N/A,,,
,,,,0,,#N/A,,,
,,,,0,,#N/A,,,
,,,,0,,#N/A,,,
,,,,0,,#N/A,,,
,,,,0,,#N/A,,,
,,,,0,,#N/A,,,
,,,,0,,#N/A,,,
,,,,0,,#N/A,,,
,,,,0,,#N/A,,,
,,,,0,,#N/A,,,
,,,,0,,#N/A,,,
,,,,0,,#N/A,,,
,,,,0,,#N/A,,,
,,,,0,,#N/A,,,
,,,,0,,#N/A,,,
,,,,0,,#N/A,,,
,,,,0,,#N/A,,,
,,,,0,,#N/A,,,
,,,,0,,#N/A,,,
,,,,0,,#N/A,,,
,,,,0,,#N/A,,,
,,,,0,,#N/A,,,
,,,,0,,#N/A,,,
,,,,0,,#N/A,,,
